,annotation,plate.barcode,subannotation,tissue,annotation_subannotation
A21.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
F8.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
H11.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
A22.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
H12.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
L9.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
P17.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
D6.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
F14.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
H17.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
L10.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
N18.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
P18.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
D14.MAA000594.3_8_M.1.1,unknown,MAA000594,,Aorta,unknown
F17.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
H20.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
J20.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
N19.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
P19.MAA000594.3_8_M.1.1,fibroblasts,MAA000594,,Aorta,fibroblasts
H21.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
J21.MAA000594.3_8_M.1.1,endothelial,MAA000594,,Aorta,endothelial
N20.MAA000594.3_8_M.1.1,adipocytes,MAA000594,,Aorta,adipocytes
D17.MAA000594.3_8_M.1.1,smooth_muscle,MAA000594,,Aorta,smooth_muscle
