tissue,annotation_original,subannotation_original,annotation_cleaned,subannotation_cleaned,n_cells
Aorta,adipocytes,.,adipocytes,.,54
Aorta,endothelial cells,.,endothelial_cells,.,131
Aorta,fibroblasts,.,fibroblasts,.,35
Aorta,hematopoetic cells,.,hematopoietic_cells,.,17
Aorta,heterogenous group of cells,adipocytes,adipocytes,.,39
Aorta,heterogenous group of cells,erythroblasts and adipocytes,unknown_cells,.,51
Aorta,heterogenous group of cells,smooth muscle cells,smooth_muscle_cells,.,37
Bladder,Basal,.,basal_cells,.,99
Bladder,LuminalA1,.,luminal_cells,a,191
Bladder,LuminalA2,.,luminal_cells,a,245
Bladder,LuminalB,.,luminal_cells,b,96
Bladder,MesenchymalA1,.,mesenchymal_cells,a,170
Bladder,MesenchymalA2,.,mesenchymal_cells,a,165
Bladder,MesenchymalB1,.,mesenchymal_cells,b,156
Bladder,MesenchymalB2,.,mesenchymal_cells,b,165
Brain_FACS_microglia,Macrophages,.,macrophages,.,36
Brain_FACS_microglia,Microglia,.,microglia_cells,.,4329
Brain_FACS_neurons,NPCS,.,neural_progenitor_cells,.,36
Brain_FACS_neurons,OPCs,.,oligodendrocyte_progenitor_cells,.,202
Brain_FACS_neurons,astrocytes,Berg.Glia,astrocytes,bergmann_glia,30
Brain_FACS_neurons,astrocytes,cerebral_astrocytes,astrocytes,cerebral_astrocytes,403
Brain_FACS_neurons,astrocytes,myelinating_oligodendrocytes,astrocytes,myelinating_oligodendrocytes,11
Brain_FACS_neurons,endothelial,vSMCs,endothelial_cells,vsmcs,14
Brain_FACS_neurons,endothelial,vascular,endothelial_cells,vascular,625
Brain_FACS_neurons,neurons,doublet,neurons,undetermined,2
Brain_FACS_neurons,neurons,excitatory,neurons,excitatory,73
Brain_FACS_neurons,neurons,inhibitory,neurons,inhibitory,98
Brain_FACS_neurons,neurons,undetermined,neurons,undetermined,23
Brain_FACS_neurons,oligodendrocytes,.,oligodendrocytes,.,1175
Brain_FACS_neurons,pericytes,.,pericytes,.,132
Brain_FACS_neurons,unknown,.,unknown_cells,.,176
Colon,Amplifying Cell,.,amplifying_cells,.,889
Colon,Chromaffin Cell,.,chromaffin_cells,.,25
Colon,Cycling Undiff. Cell,.,undifferentiated_cells,proliferating,206
Colon,Enterocyte 1,.,enterocytes,.,582
Colon,Enterocyte 2,.,enterocytes,.,200
Colon,Goblet Cell 1,.,goblet_cells,.,219
Colon,Goblet Cell 2,.,goblet_cells,.,208
Colon,Goblet Cell 3 (Batch Effect),.,goblet_cells,.,153
Colon,Goblet Cell 4,.,goblet_cells,.,143
Colon,Goblet Cell 5 (Batch Effect),.,goblet_cells,.,91
Colon,Non-Cycling Undiff. Cell,.,undifferentiated_cells,quiescent,571
Colon,Tuft Cell,.,tuft_cells,.,45
Colon,Undiff. Cell (Batch Effect),.,undifferentiated_cells,.,127
Diaphragm,B cells & T-cells,B cells & T-cells,b_cells,.,80
Diaphragm,endothelial cells,endothelial cells,endothelial_cells,.,77
Diaphragm,fibro/adipogenic progenitors,fibro/adipogenic progenitors,mesenchymal_stem_cells,.,240
Diaphragm,macrophages,macrophages,macrophages,.,31
Diaphragm,satellite cells 1,satellite cells 1,satellite_cells,.,228
Diaphragm,satellite cells 2,satellite cells 2,satellite_cells,.,214
Fat,B-cells,.,b_cells,.,513
Fat,Endothelial,.,endothelial_cells,.,549
Fat,Endothelial?,.,endothelial_cells,.,41
Fat,Epithelial?,.,epithelial_cells,.,51
Fat,Granulocytes,.,granulocytes,.,409
Fat,Mono/macro/DCs,.,myeloid_cells,.,479
Fat,Multipotent Progenitors,.,multipotent_progenitors,.,1924
Fat,Muscle?,.,muscle_cells,.,27
Fat,NK-cells,.,natural_killer_cells,.,129
Fat,Neutrophils,.,neutrophils,.,221
Fat,T-cells,.,t_cells,.,366
Heart,CMs,.,cardiomyocytes,.,140
Heart,Edc_1,.,endothelial_cells,.,844
Heart,Edc_2_coronary_vascular,.,endothelial_cells,coronary_vascular,293
Heart,Edc_3_endocardial,.,endothelial_cells,endocardial,175
Heart,Fb_1,.,fibroblasts,.,940
Heart,Fb_2,.,fibroblasts,.,620
Heart,Fb_3,.,fibroblasts,.,492
Heart,Immune_Cells_1,.,immune_cells,.,391
Heart,Immune_Cells_2,.,immune_cells,.,97
Heart,Red_blood_cells,.,erythrocytes,.,11
Heart,SMCs,Myofibroblast,smooth_muscle_cells,myofibroblast,175
Heart,SMCs,Smooth_Muscle_Cells,smooth_muscle_cells,smooth_muscle_cells,43
Kidney,Collecting duct cells ,.,collecting_duct_cells,.,44
Kidney,Endothelial cells,.,endothelial_cells,.,40
Kidney,Fenestrated capillaries,.,fenestrated_capillary_cells,.,69
Kidney,Fibroblasts,.,fibroblasts,.,65
Kidney,Immune cells,.,immune_cells,.,38
Kidney,Proximal tubule cells,.,tubule_cells,proximal,67
Kidney,Proximal tubule cells 3,.,tubule_cells,proximal,40
Kidney,Proximal tubule cells 4,.,tubule_cells,proximal,35
Kidney,Thick Ascending tubule cells,.,tubule_cells,thick_ascending,67
Kidney,proximal tubule cells 2,.,tubule_cells,proximal,52
Liver,NPCs,.,non-parenchymal_cells,.,108
Liver,endothelial cells,.,endothelial_cells,.,180
Liver,hepatocytes,Female Midlobular,hepatocytes,.,76
Liver,hepatocytes,Female Pericentral,hepatocytes,.,73
Liver,hepatocytes,Female Periportal,hepatocytes,.,54
Liver,hepatocytes,Male Midlobular,hepatocytes,.,50
Liver,hepatocytes,Male Pericentral,hepatocytes,.,85
Liver,hepatocytes,Male Periportal,hepatocytes,.,79
Lung,Alveolar Epithelial Cell Type I,.,epithelial_cells,alveolar_type_i,2
Lung,Alveolar Macrophages,.,macrophages,alveolar,13
Lung,Aveolar Epithelial Cell Type II,.,epithelial_cells,alveolar_type_ii,94
Lung,B Cells,.,b_cells,.,55
Lung,Ciliated Cells,.,ciliated_cells,.,14
Lung,Club Cells,.,club_cells,.,13
Lung,Dendritic Cells,.,dendritic_cells,.,69
Lung,Endothelial Cell Type I,.,endothelial_cells,.,446
Lung,Endothelial Cell Type II,.,endothelial_cells,.,124
Lung,Endothelial Cell Type III,.,endothelial_cells,.,67
Lung,Endothelial Cell Type IV,.,endothelial_cells,.,101
Lung,Interstital Macrophages,.,macrophages,interstitial,56
Lung,Mesothelial Cells,.,mesothelial_cells,.,2
Lung,Monocytes,.,monocytes,.,65
Lung,Natural Killer Cells,.,natural_killer_cells,.,36
Lung,Neuroendocrine Cells,.,neuroendocrine_cells,.,2
Lung,Remaining Epithelial Cells,.,remaining_epithelial_cells,.,9
Lung,Stromal Cell Type I,.,stromal_cells,.,142
Lung,Stromal Cell Type II,.,stromal_cells,.,110
Lung,Stromal Cell Type III,.,stromal_cells,.,47
Lung,Stromal Cell Type IV,.,stromal_cells,.,42
Lung,Stromal Cell Type V,.,stromal_cells,.,25
Lung,T Cells,.,t_cells,.,55
Lung,Unknown Immune I,.,immune_cells,.,31
Mammary_Gland,basal cells,.,basal_cells,.,37
Mammary_Gland,basal cells,1,basal_cells,.,318
Mammary_Gland,basal cells,2,basal_cells,.,233
Mammary_Gland,basal cells,Chac1+Mthfd2+,basal_cells,chac1+mthfd2+,390
Mammary_Gland,basal cells,Cxcl2+Vcam+Procr+,basal_cells,cxcl2+vcam+procr+,57
Mammary_Gland,basal cells,Fos+,basal_cells,fos+,111
Mammary_Gland,basal cells,Id1+Id2+Pdfgrl+Wnt10a,basal_cells,id1+id2+pdfgrl+wnt10a,52
Mammary_Gland,basal cells,Ifgbp2+Igfbp4,basal_cells,ifgbp2+igfbp,77
Mammary_Gland,endothelial cells,.,endothelial_cells,.,49
