"","plate.barcode","annotation","subannotation"
"A14.MAA000545.3_8_M.1.1","MAA000545","Collecting duct cells ",NA
"E1.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"M4.MAA000545.3_8_M.1.1","MAA000545","Collecting duct cells ",NA
"O21.MAA000545.3_8_M.1.1","MAA000545","Thick Ascending tubule cells",NA
"P4.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"A16.MAA000545.3_8_M.1.1","MAA000545","Collecting duct cells ",NA
"E17.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"M5.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells",NA
"A21.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"F5.MAA000545.3_8_M.1.1","MAA000545","Endothelial cells",NA
"A18.MAA000545.3_8_M.1.1","MAA000545","Collecting duct cells ",NA
"M8.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"P5.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"M9.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"P13.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"A22.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"F14.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"M14.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"P18.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells",NA
"B2.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"F17.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"M18.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"P21.MAA000545.3_8_M.1.1","MAA000545","proximal tubule cells 2",NA
"F22.MAA000545.3_8_M.1.1","MAA000545","Immune cells",NA
"M20.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"B10.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells",NA
"G1.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"B20.MAA000545.3_8_M.1.1","MAA000545","Thick Ascending tubule cells",NA
"G6.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"N1.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"B22.MAA000545.3_8_M.1.1","MAA000545","Fibroblasts",NA
"G11.MAA000545.3_8_M.1.1","MAA000545","Fibroblasts",NA
"N3.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"C2.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells",NA
"H2.MAA000545.3_8_M.1.1","MAA000545","Collecting duct cells ",NA
"N4.MAA000545.3_8_M.1.1","MAA000545","Thick Ascending tubule cells",NA
"I1.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells",NA
"C5.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells",NA
"C6.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"J1.MAA000545.3_8_M.1.1","MAA000545","proximal tubule cells 2",NA
"N6.MAA000545.3_8_M.1.1","MAA000545","Fibroblasts",NA
"C10.MAA000545.3_8_M.1.1","MAA000545","proximal tubule cells 2",NA
"C12.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells",NA
"J7.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"N7.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells",NA
"C13.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"K7.MAA000545.3_8_M.1.1","MAA000545","Thick Ascending tubule cells",NA
"N13.MAA000545.3_8_M.1.1","MAA000545","Collecting duct cells ",NA
"N17.MAA000545.3_8_M.1.1","MAA000545","Fibroblasts",NA
"K19.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"C22.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"D1.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"L6.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells",NA
"O1.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"D2.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"L8.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"O2.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"L9.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"O4.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"D3.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"O6.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells",NA
"A5.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells",NA
"D4.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"M2.MAA000545.3_8_M.1.1","MAA000545","Fenestrated capillaries",NA
"O13.MAA000545.3_8_M.1.1","MAA000545","proximal tubule cells 2",NA
"D8.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"A13.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"D18.MAA000545.3_8_M.1.1","MAA000545","Proximal tubule cells 3",NA
"O20.MAA000545.3_8_M.1.1","MAA000545","proximal tubule cells 2",NA
"H21.MAA000752.3_10_M.1.1","MAA000752","Endothelial cells",NA
"M14.MAA000752.3_10_M.1.1","MAA000752","Immune cells",NA
"I4.MAA000752.3_10_M.1.1","MAA000752","proximal tubule cells 2",NA
"M15.MAA000752.3_10_M.1.1","MAA000752","Thick Ascending tubule cells",NA
"I9.MAA000752.3_10_M.1.1","MAA000752","Proximal tubule cells 3",NA
"M18.MAA000752.3_10_M.1.1","MAA000752","Proximal tubule cells 3",NA
"O4.MAA000752.3_10_M.1.1","MAA000752","Fibroblasts",NA
"I10.MAA000752.3_10_M.1.1","MAA000752","Fenestrated capillaries",NA
"I13.MAA000752.3_10_M.1.1","MAA000752","Immune cells",NA
"P8.MAA000752.3_10_M.1.1","MAA000752","Thick Ascending tubule cells",NA
"M20.MAA000752.3_10_M.1.1","MAA000752","Fibroblasts",NA
"I15.MAA000752.3_10_M.1.1","MAA000752","Thick Ascending tubule cells",NA
